what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267461544421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267461545391
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267461723684
started,bundle,org.eclipse.acceleo.ide.ui,0.8.1.v200909161003,"org.eclipse.acceleo.ide.ui",1267461758072
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267461764952
executed,command,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.runtimeWorkbenchShortcut.run",1267461769234
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267461770049
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267461776659
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1267461779352
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267461781697
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267461805032
opened,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267461828702
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267461828722
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267461862659
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267461890964
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267461891059
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267461894162
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267461929602
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267461932279
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267461933617
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267461938304
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267461938522
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267461941744
no handler,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1267461944979
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267461946082
