what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267468907323
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267468915794
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267468917740
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267468917821
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267468917828
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267468919039
executed,command,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.runtimeWorkbenchShortcut.run",1267468924737
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267468925325
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267468956041
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267468956053
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267469033238
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267469046553
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267469089882
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267469091257
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267469111989
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267469115578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267469116359
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267469119753
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267469120642
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267469122684
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267469124445
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1267469125365
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267469127214
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267469128336
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267469128412
