what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267476132737
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267476136481
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267476137557
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267476137651
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267476137666
activated,editor,org.eclipse.emf.codegen.ecore.ui,2.5.0.v200906151043,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1267476140708
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267476142393
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267476159225
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267476161097
executed,command,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.runtimeWorkbenchShortcut.run",1267476163250
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267476163952
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267476330591
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267476331871
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267476333197
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267476334803
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267476343118
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267476343976
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267476344070
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267476344085
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267476344943
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267476347082
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267476347097
activated,editor,org.eclipse.emf.codegen.ecore.ui,2.5.0.v200906151043,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1267476348688
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267476350576
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267476366379
