what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267534980684
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267534989167
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267535045048
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267535175204
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267535185792
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267535517620
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267535522676
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267535630376
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267535632103
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267536273399
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267536279141
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267536280550
opened,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267536280931
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267536280946
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267536285024
activated,editor,org.eclipse.gmf.ecore.editor,2.1.0.v20090529-1925,"org.eclipse.gmf.ecore.part.EcoreDiagramEditorID",1267536289993
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267536310167
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267536319024
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267536354034
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267536356925
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267536375313
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267536438825
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267536448254
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267536454369
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267536457685
