what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267470689274
executed,command,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.runtimeWorkbenchShortcut.run",1267470691564
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267470692388
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267470713016
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267470714281
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267470716673
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267470717758
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267470734456
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267470735071
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267470735138
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267470735146
activated,editor,org.eclipse.emf.codegen.ecore.ui,2.5.0.v200906151043,"org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID",1267470736396
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267470739703
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267470760842
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267470764160
executed,command,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.runtimeWorkbenchShortcut.run",1267470767554
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267470768266
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267470782296
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267470782369
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267470782409
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267470784760
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267470786881
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267470788010
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267470798641
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267470799676
